action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,179.0,3,,,,,Black or African American,,,,,2,Female,0,2012,1132.21,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,439.0,Tarrant County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,23104.0,"Fort Worth, Arlington - TX",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,446329,48,TX,Texas,69200.0,277,1333.0,1060.0,24.26000022888184,4798.0,,157.05999755859375
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,25.0,5,,,,,White,,,,,1,Male,2,2012,1082.19,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,109.0,Oklahoma County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,36420.0,Oklahoma City - OK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2442399,40,OK,Oklahoma,61500.0,126,1381.0,1201.0,20.049999237060547,4384.0,,177.3699951171875
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,50.0,5,,,,,White,,,,,2,Female,0,2012,2179.42,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,189.0,St. Louis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,41180.0,"St. Louis - MO, IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000480228,461271,29,MO,Missouri,70400.0,87,2112.0,2017.0,13.850000381469727,5287.0,,132.66000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,281.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2012,2.04,2,Not Hispanic or Latino,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,453.0,Travis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,12420.0,"Austin, Round Rock, San Marcos - TX",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",56-2237729,4512,48,TX,Texas,75900.0,416,1022.0,573.0,20.3700008392334,3009.0,,159.22999572753906
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,132.0,5,,,,,White,,,,,1,Male,0,2012,103.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,35.0,Catawba County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,25860.0,"Hickory, Lenoir, Morganton - NC",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0002353595,903,37,NC,North Carolina,53300.0,140,2127.0,1785.0,11.649999618530273,5467.0,,150.1699981689453
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,145.0,5,,,,,White,,,,,2,Female,0,2012,619.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,31.0,Cook County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),36-4327855,23155,17,IL,Illinois,77300.0,302,60.0,791.0,18.770000457763672,4240.0,,205.2400054931641
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,200.0,5,,,,,White,,,,,2,Female,2,2012,2218.0,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,9.0,Essex County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,37764.0,Peabody - MA,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,628794,25,MA,Massachusetts,87300.0,376,714.0,566.0,2.259999990463257,1773.0,,118.86000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,41.0,5,,,,,White,,,,,1,Male,0,2012,33.18,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,3.0,Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,29820.0,"Las Vegas, Paradise - NV",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000852218,111673,32,NV,Nevada,64300.0,83,1871.0,1336.0,33.240001678466804,5112.0,,126.12999725341795
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,160.0,2,,,,,Asian,,,,,2,Female,0,2012,111.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35.0,Catawba County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,25860.0,"Hickory, Lenoir, Morganton - NC",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0002353595,883,37,NC,North Carolina,53300.0,37,2529.0,1763.0,20.75,6873.0,,109.62000274658205
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,62.0,5,,,,,White,,,,,1,Male,2,2012,1067.05,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,109.0,Oklahoma County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,36420.0,Oklahoma City - OK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,2442059,40,OK,Oklahoma,61500.0,99,914.0,659.0,29.93000030517578,2098.0,,95.87999725341795
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,75.0,5,,,,,White,,,,,1,Male,0,2012,13.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,21.0,Pinal County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,38060.0,"Phoenix, Mesa, Glendale - AZ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,83-0171636,2178,4,AZ,Arizona,66400.0,126,2546.0,1689.0,45.22999954223633,8772.0,,115.33999633789062
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,61.0,5,,,,,White,,,,,1,Male,2,2012,538.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,61.0,Snohomish County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,4,FSA/RHS-guaranteed,42644.0,"Seattle, Bellevue, Everett - WA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2306928,53,WA,Washington,88000.0,235,1964.0,1479.0,16.569999694824222,5394.0,,83.54000091552734
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,80.0,5,,,,,White,,,,,1,Male,0,2012,259.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103.0,Pinellas County,3.0,,,Credit history,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,45300.0,"Tampa, St. Petersburg, Clearwater - FL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,58-2257419,16321,12,FL,Florida,56400.0,20,1194.0,608.0,33.139999389648445,5187.0,,64.65000152587889
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,300.0,5,,,,,White,,,,,2,Female,0,2012,8009.0,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,31.0,Cook County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",36-4327855,23152,17,IL,Illinois,77300.0,710,1562.0,1434.0,37.43000030517578,4416.0,,166.41000366210938
4,Application withdrawn by applicant,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,187.0,5,,,,,White,,,,,1,Male,0,2012,203.05,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,7.0,Benton County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,22220.0,"Fayetteville, Springdale, Rogers - AR, MO",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000476810,238836,5,AR,Arkansas,58200.0,192,1368.0,967.0,37.81999969482422,4003.0,,90.45999908447266
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,342.0,5,,,,,White,,,,,1,Male,2,2012,710.16,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,163.0,Washington County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,33460.0,"Minneapolis, St. Paul, Bloomington - MN, WI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,1913136,27,MN,Minnesota,83900.0,256,1439.0,1404.0,17.540000915527347,4585.0,,175.0399932861328
5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,230.0,5,,,,,White,,,,,1,Male,0,2012,19.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,19.0,Calcasieu Parish,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,29340.0,Lake Charles - LA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-0021318,55683,22,LA,Louisiana,62400.0,222,1374.0,1093.0,8.890000343322754,3140.0,,170.1300048828125
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",32.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2012,4059.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,1.0,Alameda County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,36084.0,"Oakland, Fremont, Hayward - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-0508430,4991,6,CA,California,93500.0,106,892.0,236.0,97.05999755859376,3910.0,,46.27000045776367
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",119.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2012,17.14,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",453.0,Travis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,12420.0,"Austin, Round Rock, San Marcos - TX",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7197000003,85047,48,TX,Texas,75900.0,264,2891.0,2555.0,33.47999954223633,13159.0,,178.5500030517578
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,58.0,5,,,,,White,,,,,1,Male,2,2012,270.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,53.0,Hennepin County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,33460.0,"Minneapolis, St. Paul, Bloomington - MN, WI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,1913123,27,MN,Minnesota,83900.0,171,1763.0,1524.0,5.199999809265137,5272.0,,118.66000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,49.0,5,,,,,White,,,,,1,Male,0,2012,1139.2,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,439.0,Tarrant County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,23104.0,"Fort Worth, Arlington - TX",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,446602,48,TX,Texas,69200.0,123,1769.0,1579.0,32.439998626708984,5432.0,,148.52000427246094
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,338.0,5,,,,,White,,,,,1,Male,0,2012,612.0,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,31.0,Cook County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16974.0,"Chicago, Joliet, Naperville - IL",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),36-4327855,23164,17,IL,Illinois,77300.0,645,684.0,401.0,13.449999809265135,1889.0,,221.6499938964844
4,Application withdrawn by applicant,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,71.0,5,,,,,White,,,,,1,Male,0,2012,9609.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,95.0,Polk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000066742,1976,55,WI,Wisconsin,59900.0,100,2889.0,1797.0,3.130000114440918,5215.0,,117.1500015258789
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,53.0,5,,,,,White,,,,,2,Female,2,2012,267.15,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,53.0,Hennepin County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,33460.0,"Minneapolis, St. Paul, Bloomington - MN, WI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,1913109,27,MN,Minnesota,83900.0,190,3787.0,3640.0,18.299999237060547,12453.0,,181.6000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,95.0,5,,,,,White,,,,,1,Male,0,2012,33.04,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,7.0,Chittenden County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,15540.0,"Burlington, South Burlington - VT",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7811300008,5584,50,VT,Vermont,76700.0,314,1543.0,1492.0,11.56999969482422,5728.0,,102.3499984741211
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,38.0,5,,,,,White,,,,,1,Male,0,2012,18.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,19.0,Calcasieu Parish,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,29340.0,Lake Charles - LA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",7056000000,31507,22,LA,Louisiana,62400.0,109,3136.0,2639.0,14.520000457763672,10014.0,,148.44000244140625
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,40.0,5,,,,,White,,,,,1,Male,0,2012,2912.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,111.0,Midland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000060137,693,26,MI,Michigan,52100.0,120,1992.0,1811.0,6.639999866485597,5364.0,,126.87000274658205
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,24.0,5,,,,,White,,,,,1,Male,0,2012,206.06,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,7.0,Benton County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,22220.0,"Fayetteville, Springdale, Rogers - AR, MO",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000311845,1427,5,AR,Arkansas,58200.0,10,1422.0,1162.0,10.670000076293944,4019.0,,215.6499938964844
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,42.0,5,,,,,White,,,,,1,Male,0,2012,105.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,11.0,Franklin County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,15540.0,"Burlington, South Burlington - VT",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7811300008,5505,50,VT,Vermont,76700.0,146,3003.0,1944.0,7.0999999046325675,6427.0,,83.4000015258789
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,,3,,,,,Black or African American,,,,,1,Male,0,2012,1111.04,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,2,Female,439.0,Tarrant County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,23104.0,"Fort Worth, Arlington - TX",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,644598,48,TX,Texas,69200.0,52,1043.0,670.0,85.31999969482422,2820.0,,82.37999725341797
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,36.0,5,,,,,White,,,,,2,Female,0,2012,117.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35.0,Catawba County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,25860.0,"Hickory, Lenoir, Morganton - NC",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0003284070,84375,37,NC,North Carolina,53300.0,94,1665.0,1396.0,18.21999931335449,4280.0,,104.5199966430664
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,45.0,2,,,,,Asian,,,,,1,Male,0,2012,9108.08,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,37.0,Los Angeles County,4.0,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,31084.0,"Los Angeles, Long Beach, Glendale - CA",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1354114,6,CA,California,64800.0,268,1173.0,1027.0,38.04999923706055,3537.0,,135.96000671386722
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",45.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2012,21.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,19.0,Calcasieu Parish,3.0,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,29340.0,Lake Charles - LA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-0021318,60790,22,LA,Louisiana,62400.0,65,1168.0,880.0,31.95000076293945,3033.0,,105.26000213623048
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,104.0,5,,,,,White,,,,,1,Male,2,2012,1090.04,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,109.0,Oklahoma County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,36420.0,Oklahoma City - OK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2442892,40,OK,Oklahoma,61500.0,256,1518.0,1156.0,16.729999542236328,3473.0,,98.06999969482422
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,86.0,5,,,,,White,,,,,1,Male,0,2012,116.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35.0,Catawba County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,25860.0,"Hickory, Lenoir, Morganton - NC",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0003284070,83225,37,NC,North Carolina,53300.0,96,2280.0,1783.0,9.520000457763672,5546.0,,106.63999938964844
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,56.0,5,,,,,White,,,,,1,Male,0,2012,98.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,173.0,Sedgwick County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,48620.0,Wichita - KS,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000706081,1131,20,KS,Kansas,65000.0,137,2771.0,2296.0,11.15999984741211,7986.0,,131.88999938964844
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,110.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2012,3462.01,2,Not Hispanic or Latino,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,13.0,Contra Costa County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,36084.0,"Oakland, Fremont, Hayward - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",26-0508430,3417,6,CA,California,93500.0,391,2486.0,2360.0,14.649999618530273,7181.0,,155.49000549316406
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,146.0,7,,,,,Not applicable,,,,,4,Not applicable,2,2012,213.1,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,7.0,Benton County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,22220.0,"Fayetteville, Springdale, Rogers - AR, MO",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000476810,38979,5,AR,Arkansas,58200.0,87,2413.0,1686.0,19.96999931335449,7382.0,,145.25
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,92.0,5,,,,,White,,,,,1,Male,2,2012,37.06,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,309.0,McLennan County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,47380.0,Waco - TX,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2851196,48,TX,Texas,54700.0,149,2951.0,2364.0,29.57999992370605,9038.0,,144.63999938964844
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2012,2201.02,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,9.0,Essex County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,37764.0,Peabody - MA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000504713,205993,25,MA,Massachusetts,87300.0,175,1352.0,939.0,4.710000038146973,2949.0,,126.2699966430664
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,60.0,5,,,,,White,,,,,1,Male,2,2012,754.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59.0,Orange County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,2,FHA-insured,42044.0,"Santa Ana, Anaheim, Irvine - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),26-2049351,16510,6,CA,California,85300.0,351,1199.0,1020.0,61.02999877929688,3895.0,,117.93000030517578
